subject,idna_subject,expiration_date,epoch
008k.com,008k.com,12-oct-2023,1697068800.0
010402.com,010402.com,30-jul-2021,1627603200.0
0190-dialer.com,0190-dialer.com,03-mar-2021,1614729600.0
0427d7.se,0427d7.se,10-may-2023,1683676800.0
05168.com.tw,05168.com.tw,07-feb-2022,1644192000.0
070.us,070.us,28-jun-2021,1624838400.0
0900.com,0900.com,18-nov-2024,1731888000.0
0aaa.com,0aaa.com,17-jul-2021,1626480000.0
0iecfobt.com,0iecfobt.com,05-feb-2021,1612483200.0
0ml.net,0ml.net,21-jul-2021,1626825600.0
0nlyzoo.com,0nlyzoo.com,23-mar-2021,1616457600.0
1-1ads.com,1-1ads.com,20-jul-2021,1626739200.0
10-million-hits.com,10-million-hits.com,25-jun-2021,1624579200.0
1000stars.ru,1000stars.ru,07-jun-2021,1623024000.0
100webads.com,100webads.com,03-sep-2022,1662163200.0
101-website-traffic.com,101-website-traffic.com,30-jul-2021,1627603200.0
1010win.com,1010win.com,18-mar-2023,1679097600.0
101malls.com,101malls.com,17-apr-2021,1618617600.0
101order.com,101order.com,14-aug-2021,1628899200.0
103092804.com,103092804.com,19-may-2021,1621382400.0
103bees.com,103bees.com,03-may-2021,1620000000.0
11alivenews.com,11alivenews.com,18-feb-2021,1613606400.0
11qe.com,11qe.com,28-may-2021,1622160000.0
123-tracker.com,123-tracker.com,14-may-2021,1620950400.0
123banners.com,123banners.com,10-apr-2025,1744243200.0
123count.com,123count.com,09-dec-2021,1639008000.0
123counts.com,123counts.com,13-aug-2021,1628812800.0
123found.com,123found.com,26-jan-2021,1611619200.0
123go.net,123go.net,21-jun-2021,1624233600.0
123invention.com,123invention.com,19-feb-2021,1613692800.0
123keno.com,123keno.com,27-apr-2021,1619481600.0
123stat.com,123stat.com,19-aug-2024,1724025600.0
123ticket.com,123ticket.com,30-may-2021,1622332800.0
126.com,126.com,28-feb-2027,1803772800.0
143fuck.com,143fuck.com,01-dec-2021,1638316800.0
15666.com,15666.com,24-feb-2025,1740355200.0
15x.net,15x.net,02-sep-2021,1630540800.0
163.com,163.com,14-sep-2026,1789344000.0
17money.com,17money.com,18-aug-2021,1629244800.0
1800banners.com,1800banners.com,26-jun-2022,1656201600.0
18access.com,18access.com,22-feb-2021,1613952000.0
18dmm.com,18dmm.com,08-jun-2021,1623110400.0
192.com,192.com,12-jun-2024,1718150400.0
1autocity.com,1autocity.com,13-aug-2021,1628812800.0
1bg.net,1bg.net,21-mar-2021,1616284800.0
1clickspyclean.com,1clickspyclean.com,23-mar-2021,1616457600.0
1ere-position.com,1ere-position.com,09-mar-2021,1615248000.0
1millionlotto.net,1millionlotto.net,30-aug-2021,1630281600.0
1on1tours.com,1on1tours.com,13-jul-2021,1626134400.0
1phads.com,1phads.com,12-feb-2021,1613088000.0
1pharma.net,1pharma.net,05-feb-2021,1612483200.0
1pop.ru,1pop.ru,07-sep-2021,1630972800.0
1sexsex.com,1sexsex.com,30-may-2021,1622332800.0
1shoppingcart.com,1shoppingcart.com,18-mar-2021,1616025600.0
1st-fuss.com,1st-fuss.com,21-mar-2021,1616284800.0
1stfind.com,1stfind.com,25-jan-2021,1611532800.0
1stpunch.com,1stpunch.com,20-mar-2021,1616198400.0
1stspywarekiller.com,1stspywarekiller.com,19-jul-2021,1626652800.0
1teens.net,1teens.net,31-jul-2021,1627689600.0
2-easy.com,2-easy.com,07-mar-2021,1615075200.0
2-spyware.com,2-spyware.com,06-feb-2022,1644105600.0
2001positions.com,2001positions.com,03-mar-2021,1614729600.0
2005-search.com,2005-search.com,15-may-2021,1621036800.0
2009-search.com,2009-search.com,21-jul-2021,1626825600.0
2020search.com,2020search.com,12-apr-2021,1618185600.0
2026.com,2026.com,05-may-2021,1620172800.0
207.net,207.net,10-jul-2021,1625875200.0
20forfree.com,20forfree.com,21-mar-2021,1616284800.0
2349.com,2349.com,26-nov-2022,1669420800.0
247-host.com,247-host.com,22-mar-2022,1647907200.0
247media.net,247media.net,09-mar-2022,1646784000.0
247realmedia.com,247realmedia.com,30-oct-2021,1635552000.0
24counter.com,24counter.com,30-jun-2022,1656547200.0
24pm-affiliation.com,24pm-affiliation.com,25-jun-2021,1624579200.0
24pmad.com,24pmad.com,20-apr-2021,1618876800.0
24start.com,24start.com,23-may-2021,1621728000.0
